,target_Z,target_A,phase,energy,stopping_power,percentage_error,publication_year
304,4,9.0122,1,42.393,11.511,4.0,1980
305,4,9.0122,1,43.332,11.7219,4.0,1980
306,4,9.0122,1,43.642,11.9438,4.0,1980
307,4,9.0122,1,43.993,11.7049,4.0,1980
308,4,9.0122,1,44.07,12.0103,4.0,1980
309,4,9.0122,1,44.444,11.5898,4.0,1980
310,4,9.0122,1,46.29,11.4687,4.0,1980
311,4,9.0122,1,46.34,11.772,4.0,1980
312,4,9.0122,1,51.973,11.9748,4.0,1980
313,4,9.0122,1,53.493,12.3776,4.0,1980
314,4,9.0122,1,56.419,12.0538,4.0,1980
315,4,9.0122,1,61.375,12.0212,4.0,1980
316,4,9.0122,1,63.414,12.8652,4.0,1980
317,4,9.0122,1,66.23,12.2435,4.0,1980
318,4,9.0122,1,71.72,12.1807,4.0,1980
319,4,9.0122,1,72.748,12.5447,4.0,1980
320,4,9.0122,1,73.412,12.8605,4.0,1980
321,4,9.0122,1,74.328,12.3725,4.0,1980
322,4,9.0122,1,75.662,12.1222,4.0,1980
323,4,9.0122,1,76.232,12.3322,4.0,1980
324,4,9.0122,1,81.466,12.5518,4.0,1980
325,4,9.0122,1,82.772,12.3513,4.0,1980
326,4,9.0122,1,83.546,12.7749,4.0,1980
327,4,9.0122,1,85.513,12.3315,4.0,1980
328,4,9.0122,1,92.748,12.6977,4.0,1980
329,4,9.0122,1,95.155,11.8474,4.0,1980
330,4,9.0122,1,96.046,12.4286,4.0,1980
331,4,9.0122,1,97.67,12.1005,4.0,1980
332,4,9.0122,1,101.982,12.183,4.0,1980
333,4,9.0122,1,102.142,11.9656,4.0,1980
334,4,9.0122,1,103.394,12.2597,4.0,1980
335,4,9.0122,1,106.323,11.9841,4.0,1980
336,4,9.0122,1,111.411,11.7776,4.0,1980
337,4,9.0122,1,112.496,12.0256,4.0,1980
338,4,9.0122,1,113.31,11.5792,4.0,1980
339,4,9.0122,1,113.616,12.1399,4.0,1980
340,4,9.0122,1,114.026,11.8369,4.0,1980
341,4,9.0122,1,6500.0,0.7981,0.3,1979
342,4,9.0122,1,25.0,8.1696,3.0,1953
343,4,9.0122,1,50.0,9.232,3.0,1953
344,4,9.0122,1,75.0,9.5761,3.0,1953
345,4,9.0122,1,100.0,9.202,3.0,1953
346,4,9.0122,1,150.0,7.7955,3.0,1953
347,4,9.0122,1,200.0,6.995,3.0,1953
348,4,9.0122,1,250.0,6.4788,3.0,1953
349,4,9.0122,1,300.0,6.0599,3.0,1953
350,4,9.0122,1,350.0,5.6978,3.0,1953
351,4,9.0122,1,400.0,5.3866,3.0,1953
352,4,9.0122,1,450.0,5.1172,3.0,1953
353,4,9.0122,1,500.0,4.8629,3.0,1953
354,4,9.0122,1,550.0,4.6504,3.0,1953
355,4,9.0122,1,600.0,4.4514,3.0,1953
356,4,9.0122,1,650.0,4.2524,3.0,1953
357,4,9.0122,1,700.0,4.0773,3.0,1953
358,4,9.0122,1,750.0,3.9846,3.0,1953
359,4,9.0122,1,800.0,3.7541,3.0,1953
360,4,9.0122,1,850.0,3.606,3.0,1953
361,4,9.0122,1,900.0,3.4668,3.0,1953
362,4,9.0122,1,950.0,3.3367,3.0,1953
363,4,9.0122,1,1000.0,3.217,3.0,1953
364,4,9.0122,1,1050.0,3.0868,3.0,1953
365,4,9.0122,1,1100.0,2.9626,3.0,1953
366,4,9.0122,1,1150.0,2.8549,3.0,1953
367,4,9.0122,1,1200.0,2.7606,3.0,1953
368,4,9.0122,1,1250.0,2.6753,3.0,1953
369,4,9.0122,1,1300.0,2.593,3.0,1953
370,4,9.0122,1,1350.0,2.5212,3.0,1953
371,4,9.0122,1,538.9,4.894,10.0,1948
372,4,9.0122,1,660.0,4.254,10.0,1948
373,4,9.0122,1,668.7,4.218,10.0,1948
374,4,9.0122,1,715.2,4.108,10.0,1948
375,4,9.0122,1,1011.5,3.274,10.0,1948
376,4,9.0122,1,1014.3,3.231,10.0,1948
377,4,9.0122,1,1052.0,3.122,10.0,1948
378,4,9.0122,1,1135.0,2.973,10.0,1948
379,4,9.0122,1,1275.1,2.801,10.0,1948
380,4,9.0122,1,1311.3,2.666,10.0,1948
381,4,9.0122,1,1390.3,2.64,10.0,1948
382,4,9.0122,1,1425.0,2.514,10.0,1948
383,4,9.0122,1,455.0,5.6409,5.0,1953
384,4,9.0122,1,540.0,4.9227,5.0,1953
385,4,9.0122,1,661.0,4.1746,5.0,1953
386,4,9.0122,1,662.0,4.3092,5.0,1953
387,4,9.0122,1,665.0,4.2195,5.0,1953
388,4,9.0122,1,798.0,3.5761,5.0,1953
389,4,9.0122,1,1010.0,3.2319,5.0,1953
390,4,9.0122,1,1013.0,3.2319,5.0,1953
391,4,9.0122,1,1049.0,3.0973,5.0,1953
392,4,9.0122,1,1133.0,2.8279,5.0,1953
393,4,9.0122,1,1135.0,3.0374,5.0,1953
394,4,9.0122,1,1276.0,2.8279,5.0,1953
395,4,9.0122,1,1310.0,2.6484,5.0,1953
396,4,9.0122,1,1392.0,2.6634,5.0,1953
397,4,9.0122,1,1422.0,2.4838,5.0,1953
398,4,9.0122,1,2016.0,2.0798,5.0,1953
399,4,9.0122,1,10.816,6.9552,8.6,1968
400,4,9.0122,1,14.475,7.7175,8.6,1968
401,4,9.0122,1,23.875,9.8398,8.6,1968
402,4,9.0122,1,27.468,10.6469,8.6,1968
403,4,9.0122,1,1402.329,2.7084,3.0,1961
404,4,9.0122,1,1709.823,2.316,3.0,1961
405,4,9.0122,1,2127.437,2.0138,3.0,1961
406,4,9.0122,1,2598.971,1.6302,3.0,1961
407,4,9.0122,1,3115.439,1.4911,3.0,1961
408,4,9.0122,1,3658.325,1.3064,3.0,1961
409,4,9.0122,1,4221.148,1.1287,3.0,1961
410,4,9.0122,1,4234.437,1.1698,3.0,1961
411,4,9.0122,1,4540.13,1.1288,3.0,1961
412,4,9.0122,1,2000.0,1.9845,1.0,1967
413,4,9.0122,1,2500.0,1.677,1.0,1967
414,4,9.0122,1,3000.0,1.4584,1.0,1967
415,4,9.0122,1,3500.0,1.2943,1.0,1967
416,4,9.0122,1,4000.0,1.166,1.0,1967
417,4,9.0122,1,4500.0,1.0628,1.0,1967
418,4,9.0122,1,5000.0,0.9778,1.0,1967
419,4,9.0122,1,5500.0,0.9064,1.0,1967
420,4,9.0122,1,6000.0,0.8457,1.0,1967
421,4,9.0122,1,6500.0,0.7932,1.0,1967
422,4,9.0122,1,7000.0,0.7474,1.0,1967
423,4,9.0122,1,7500.0,0.707,1.0,1967
424,4,9.0122,1,8000.0,0.6712,1.0,1967
425,4,9.0122,1,8500.0,0.6391,1.0,1967
426,4,9.0122,1,9000.0,0.6102,1.0,1967
427,4,9.0122,1,9500.0,0.584,1.0,1967
428,4,9.0122,1,10000.0,0.5602,1.0,1967
429,4,9.0122,1,11000.0,0.5185,1.0,1967
430,4,9.0122,1,12000.0,0.483,1.0,1967
431,4,9.0122,1,13000.0,0.4525,1.0,1967
432,4,9.0122,1,14000.0,0.426,1.0,1967
433,4,9.0122,1,15000.0,0.4026,1.0,1967
434,4,9.0122,1,16000.0,0.3818,1.0,1967
435,4,9.0122,1,17000.0,0.3634,1.0,1967
436,4,9.0122,1,18000.0,0.3468,1.0,1967
437,4,9.0122,1,19000.0,0.3319,1.0,1967
438,4,9.0122,1,20000.0,0.3183,1.0,1967
439,4,9.0122,1,23000.0,0.2838,1.0,1967
440,4,9.0122,1,27000.0,0.2491,1.0,1967
441,4,9.0122,1,31000.0,0.2225,1.0,1967
442,4,9.0122,1,55.521,9.3307,4.5,1949
443,4,9.0122,1,77.04,9.6436,4.5,1949
444,4,9.0122,1,91.027,9.5422,4.5,1949
445,4,9.0122,1,95.404,9.2086,4.5,1949
446,4,9.0122,1,119.459,8.5403,4.5,1949
447,4,9.0122,1,132.029,8.3117,4.5,1949
448,4,9.0122,1,210.375,6.663,4.5,1949
449,4,9.0122,1,216.533,6.7628,4.5,1949
450,4,9.0122,1,268.022,6.3502,4.5,1949
451,4,9.0122,1,294.967,6.0128,4.5,1949
452,4,9.0122,1,356.711,5.11,4.5,1949
453,5,10.811,1,53.9,14.7,2.0,1962
454,5,10.811,1,70.8,14.7,2.0,1962
455,5,10.811,1,93.6,13.6,2.0,1962
456,5,10.811,1,128.0,12.9,2.0,1962
457,5,10.811,1,163.0,11.6,2.0,1962
458,5,10.811,1,188.0,10.8,2.0,1962
459,5,10.811,1,220.0,10.2,2.0,1962
460,5,10.811,1,245.0,9.54,2.0,1962
461,5,10.811,1,262.0,9.25,2.0,1962
462,5,10.811,1,351.0,7.89,2.0,1962
463,5,10.811,1,529.0,5.92,2.0,1962
464,5,10.811,1,563.0,5.9,2.0,1962
465,5,10.811,1,774.0,4.86,2.0,1962
466,5,10.811,1,998.0,4.11,2.0,1962
467,5,10.811,1,1120.0,3.65,2.0,1962
468,5,10.811,1,1170.0,3.57,2.0,1962
469,5,10.811,1,1240.0,3.45,2.0,1962
470,5,10.811,1,1320.0,3.36,2.0,1962
471,5,10.811,1,13.223,9.8359,4.0,1966
472,5,10.811,1,15.354,10.393,4.0,1966
473,5,10.811,1,18.731,11.5511,4.0,1966
474,5,10.811,1,20.75,12.1103,4.0,1966
475,5,10.811,1,22.579,12.805,4.0,1966
476,5,10.811,1,24.752,12.9955,4.0,1966
477,5,10.811,1,27.854,13.5787,4.0,1966
478,5,10.811,1,29.926,14.138,4.0,1966
479,5,10.811,1,31.793,14.3963,4.0,1966
480,5,10.811,1,33.676,14.8738,4.0,1966
481,5,10.811,1,36.154,15.4599,4.0,1966
482,5,10.811,1,37.953,15.0705,4.0,1966
483,5,10.811,1,42.678,16.1144,4.0,1966
484,5,10.811,1,45.75,16.2974,4.0,1966
485,5,10.811,1,51.406,16.5693,4.0,1966
486,5,10.811,1,60.051,17.0502,4.0,1966
487,5,10.811,1,63.276,17.0234,4.0,1966
488,5,10.811,1,99.0,13.82,4.0,1962
489,5,10.811,1,145.0,12.5,4.0,1962
490,5,10.811,1,190.0,11.13,4.0,1962
491,5,10.811,1,235.0,10.06,4.0,1962
492,5,10.811,1,282.0,9.02,4.0,1962
493,5,10.811,1,336.0,8.22,4.0,1962
494,5,10.811,1,379.0,7.61,4.0,1962
495,5,10.811,1,426.0,7.15,4.0,1962
496,5,10.811,1,471.0,6.82,4.0,1962
497,5,10.811,1,523.0,6.27,4.0,1962
498,5,10.811,1,573.0,5.78,4.0,1962
499,5,10.811,1,623.0,5.66,4.0,1962
500,5,10.811,1,717.0,5.07,4.0,1962
501,5,10.811,1,821.0,4.65,4.0,1962
502,5,10.811,1,925.0,4.28,4.0,1962
503,5,10.811,1,1133.0,3.79,4.0,1962
504,5,10.811,1,1341.0,3.42,4.0,1962
505,5,10.811,1,1544.0,3.09,4.0,1962
506,5,10.811,1,1746.0,2.78,4.0,1962
507,5,10.811,1,1805.0,2.72,4.0,1962
508,5,10.811,1,1949.0,2.54,4.0,1962
509,5,10.811,1,2152.0,2.45,4.0,1962
510,5,10.811,1,2354.0,2.26,4.0,1962
511,5,10.811,1,2558.0,2.14,4.0,1962
512,5,10.811,1,2642.0,2.1,4.0,1962
513,5,10.811,1,2760.0,2.02,4.0,1962
514,5,10.811,1,2963.0,1.99,4.0,1962
515,6,12.011,1,0.07,0.5882,10.0,1969
516,6,12.011,1,0.325,1.4675,10.0,1969
517,6,12.011,1,0.684,2.1716,10.0,1969
